x,y,z
0.02900566666666667,0.5057683333333334,-0.03347622222222222
0.19384022222222225,0.4300252222222222,-0.07188677777777779
0.007551083333333333,-0.14738088888888892,-0.11794986111111111
0.09221966666666664,-0.47861233333333325,-0.17779058333333334
0.22233362500000003,0.222372,-0.08580575000000001
0.2821488571428571,-0.016014999999999998,-0.0797177142857143
0.115128,-0.82118075,-0.189124625
-0.09699461538461539,-0.47329492307692306,-0.15584015384615385
-0.2000798,0.2313023,-0.10255359999999998
-0.13107954545454548,0.4140830909090909,-0.0748139090909091
-0.28507842857142857,0.01022642857142857,-0.11130614285714287
-0.12563833333333332,-0.8202244444444444,-0.19308599999999998
