x,y,z
0.20199488888888892,0.13863133333333333,-0.14506955555555556
-0.19877957142857144,0.1373257142857143,-0.14140285714285714
-0.14950654545454545,0.46054372727272724,-0.042151454545454554
0.1610323,0.5204468,-0.0488977
0.0018095714285714301,0.8196337857142858,-0.15243028571428568
0.535044,1.3169054,0.4260486
-0.47925074999999995,1.3259690000000002,0.435345
0.416508,1.3189827000000003,0.21135600000000002
-0.3365687,1.3417913000000001,0.2233757
0.24510633333333331,1.3761838333333334,-0.020816333333333336
-0.17219910000000002,1.3689394,-0.0023917999999999995
0.05485377777777777,1.5336964444444443,-0.007258222222222225
