x,y,z
-0.3405996363636363,0.16636409090909093,-0.2372781818181818
0.27251600000000004,0.11400045454545454,-0.06450772727272727
0.1141720769230769,0.38905061538461544,-0.030936615384615382
-0.26346914285714285,0.48524035714285707,-0.12388085714285713
-0.040529410256410235,0.730768794871795,-0.1339143846153846
-0.4000881666666667,0.9569528333333334,-0.013101833333333333
0.3016911428571428,0.8813245714285715,-0.11923642857142856
-0.3651047142857143,1.1345352857142854,-0.190707
0.23906433333333335,1.1518406666666667,-0.16650566666666666
-0.23379140000000004,1.3149972,-0.1028545
0.14042991666666665,1.2973309166666667,-0.07426225
-0.06279183333333334,1.4638633333333333,-0.0022398333333333333
